id2,name2,id1,name1,percent
1831,EXCAVATOR,358,Excavator,95%
1831,EXCAVATOR,359,Excavator,95%
1831,EXCAVATOR,360,Excavator,95%
1831,EXCAVATOR,364,Excavator,95%
1831,EXCAVATOR,365,Excavator,95%
1831,EXCAVATOR,366,Excavator,95%
1831,EXCAVATOR,367,Excavator,95%
1831,EXCAVATOR,368,Excavator,95%
1831,EXCAVATOR,369,Excavator,95%
1831,EXCAVATOR,6720,Excavator,95%
1831,EXCAVATOR,6721,Excavator,95%
1833,EXPANSOR 1L,2706,Expansor 1l,95%
1862,FILME INTRAORALE 3X4 CM VITEZA E 150| BUC VELOPEX,1872,"Filme intraorale 3x4 cm, viteza E VELOPEX 150 buc",95%
1927,GC ESSENTIA STARTER KIT 7 seringi,2314,GC ESSENTIA STARTER KIT 7 SERINGI,95%
1932,GC FUJI II LC LICHID 6.8ML,2268,GC FUJI II LC lichid 6.8ml,95%
1941,GC FUJICEM 2 SL CARTUS 13.3G,2269,GC FUJICEM 2 SL cartus 13.3g,95%
1941,GC FUJICEM 2 SL CARTUS 13.3G,2269,GC FUJICEM 2 SL cartus 13.3g,95%
1990,GC PATTERN RESIN,2704,GC Pattern Resin,95%
1991,GC STELLAVEST PULBERE 2KG,2702,GC Stellavest pulbere 2kg,95%
2287,ANGELUS HARTIE DE ARTICULATIE DREAPTA 19 MICRONI,1925,Hartie articulatie 19 microni dreapta ANGELUS,95%
2315,HERACERAM GLAZE 20g,2663,HeraCeram Glaze 20g,95%
2320,HERACERAM LICHID MODELAT CERAMICA 250ml,2672,HeraCeram lichid modelat ceramica 250ml,95%
2320,HERACERAM LICHID MODELAT CERAMICA 250ml,2673,HeraCeram lichid modelat ceramica ML 25ml,95%
2326,HERACERAM OPAQUE LICHID OL2 25ML,2670,HeraCeram Opaque lichid OL2 25ml,95%
2362,ANGELUS HUSA CROCODIL PT SERINGA ASPIRATIE,1922,Husa pentru seringa aspiratie Crocodil ANGELUS,95%
2362,ANGELUS HUSA CROCODIL PT SERINGA ASPIRATIE,1922,Husa pentru seringa aspiratie Crocodil ANGELUS,95%
2379,ECS INDICATOR STERILIZARE AUTOCLAV CLASA 5 250 BUC,2595,Indicator sterilizare autoclav  clasa 5 250 buc,95%
2379,ECS INDICATOR STERILIZARE AUTOCLAV CLASA 5 250 BUC,2595,Indicator sterilizare autoclav  clasa 5 250 buc,95%
2400,IVOCLAR OPTRAGATE 3D SMALL REF.,2946,Optragate 3D Small Refill Ivoclar,95%
2400,IVOCLAR OPTRAGATE 3D SMALL REF.,2946,Optragate 3D Small Refill Ivoclar,95%
2400,IVOCLAR OPTRAGATE 3D SMALL REF.,2946,Optragate 3D Small Refill Ivoclar,95%
2400,IVOCLAR OPTRAGATE 3D SMALL REF.,2946,Optragate 3D Small Refill Ivoclar,95%
